Name,Level Requirement,Stat Requirements,Gold Required,Item Requirement(s),Prerequisite(s),Learning Location,Description
ao suain,71,5/38/70/13/5,"50,000",Faerie's Wing (1),-,Piet Priestess,"Neutralizes suain, unfreezing targeted creature."
suain,71,12/46/60/5/9,"75,000","Enchanted Earrings (1), Ialtag's Eye (1)",-,Suomi Black Magic Master,"Imposes a state of absolute immobilization upon the enemy, rendering them frozen."
ard ioc,80,3/36/74/3/3,"75,000","Enchanted Earrings (1), Polyp Sac (1), Leech's Tail (1)",mor ioc (100),Piet Priestess,Restores a considerable amount of health to the target.
Prevent Affliction,80,7/56/68/7/7,"100,000","Ialtag's Eye (1), Leech's Tail (2)",-,Suomi Black Magic Master,"Imposes a restrictive effect on the target, preventing them from casting any form of cradh."
ao ard cradh,81,3/48/78/6/3,"100,000","Enchanted Earrings (1), Ialtag's Eye (2)",ao mor cradh (100),Piet Priestess,"Banishes the relentless ard cradh curse from the target, freeing them from its relentless grip."
beag pramh,90,3/64/58/10/15,"250,000","Salve Earrings (1), Wisp's Core (4)",-,Suomi Black Magic Master,Puts the enemy to sleep for 6 seconds.
Aura of Blessing,Master (Light),3/3/3/3/3,-,-,-,Becoming Light Priest,A singular buff designed to push defensive capabilities to their limit.
Aura of Torment,Master (Dark),3/3/3/3/3,-,-,-,Becoming Dark Priest,A singular buff designed to push offensive capabilities to their limit.
Bind,Master (Dark),3/3/3/3/3,-,-,-,Master Dungeon,Decreases the target's attack speed by 30% for 30 seconds. (Dark Priest Only)
Deo Lamh,Master (Light),3/3/3/3/3,-,-,-,Master Dungeon,Attacks enemies on all sides of you with light. (Light Priest Only)
Miasma,Master (Dark),3/3/3/3/3,-,-,poison (100),Master Dungeon,Inflicts a greater poison to the target. (Dark Priest Only). Upgrades poison.
pramh,Master,3/3/3/3/3,-,-,beag pramh (100),Master,Puts the enemy to sleep for 12 seconds.
Regeneration,Master (Light),3/3/3/3/3,-,-,-,Master Dungeon,Heals the target based on your wisdom and 1% of their maximum health. (Light Priest only)
Resurrect,Master (Pure),3/3/3/3/3,-,-,-,Master,"Resurrects the targeted ghost, granting them a second chance. 10 minute cooldown. Pure only."
Void Jolt,Master (Dark),3/3/3/3/3,-,-,Zap (100),Becoming Dark Priest,Unleashes a non-elemental attack. The effectiveness of the attack is directly tied to the amount of mana available. (Dark Priest only)
Vortex,Master,3/3/3/3/3,-,-,Quake (100),Master,Inflicts a lot of damage in the vicinity of an ally over a duration of 10 seconds. Upgrades Quake.
nuadhaich,Master,6/75/110/21/5,"100,000",Losgann Tail (1),ard ioc (100),Light Priest Master,"Restores an immense amount of health to the target. (Light Priest Only)"
Strioch Bais,Master (Dark),15/90/120/12/8,"500,000",Ruidhtear Toe (2),-,Dark Priest Master,Attacks the enemy with intense darkness. (Dark Priest Only)
Dark Storm,Master (Pure Dark),5/90/132/10/15,"500,000",Black Shocker Piece (3),-,Dark Priest Master,"A storm of dark energy damages creatures near the target. Deals % of current HP, effective on high HP targets. (Pure Dark Priest Only)"
Heal Aura,Master (Pure Light),7/85/135/30/18,"500,000",Gold Shocker Piece (5),-,Light Priest Master,Places a zone around the target that heals yourself and allies. (Pure Light Priest Only)
Deo Searg,Master (Light),20/120/135/5/5,"500,000",Gold Beetalic Head (5),-,Light Priest Master,Attacks the enemy with intense light. (Light Priest Only)
Strioch Bais Meall,Master (Dark),30/120/180/25/15,"750,000",Ruidhtear Toe (5),-,Dark Priest Master,Attacks the enemy with intense darkness. (Dark Priest Only)
Deo Searg Meall,Master (Light),25/150/180/30/20,"500,000",Black Shocker Piece (5),-,Light Priest Master,Attacks the enemy with intense light. (Light Priest Only)
ao dia cradh,Master (Light),3/3/3/3/3,-,-,-,Medusa,"Removes dia cradh from the target. (Light Priest Only)"
Shadow Pact,Master (Dark),3/3/3/3/3,-,-,-,Medusa,"A temporary buff placed on an ally causing them to be healed when you cast a strioch spell. (Dark Priest Only)"
