Name,Level Requirement,Stat Requirements,Gold Required,Item Requirement(s),Prerequisite(s),Learning Location,Description
Mor Athar,41,3/40/27/3/12,"50,000","Ialtag's Eye (1), Royal Silver Ring (2)",Athar (100),Undine Black Magic Master,Attacks the enemy with strong wind.
Mor Creag,41,3/40/27/12/3,"50,000","Hobgoblin's Skull (2), Royal Silver Ring (2)",Creag (100),Undine Black Magic Master,Attacks the enemy with strong earth.
Mor Sal,41,8/40/27/8/8,"50,000","Hobgoblin's Skull (2), Royal Silver Ring (2)",Sal (100),Undine Black Magic Master,Attacks the enemy with strong water.
Mor Srad,41,12/40/27/3/3,"50,000","Kardi Fur (2), Royal Gold Ring (2)",Srad (100),Undine Black Magic Master,Attacks the enemy with strong fire.
Home,41,3/42/35/5/5,"25,000","Mimic Teeth (2), Raw Heartstone (2)",-,Piet Priestess,Teleports the caster to their home nation.
Dall,48,3/42/38/10/3,"50,000","Mythril Earrings (1), Mushroom (2)",-,Suomi Dark Magic Master,Blinds enemy for 25 seconds.
Expose Weakness,58,3/52/30/12/7,"50,000","Magus Zeus (1), Wisp Core (2)",-,Suomi Dark Magic Master,Exposes the enemy's defense element.
Mor Athar Lamh,60,3/52/30/3/14,"75,000","Royal Silver Ring (2), Hobgoblin's Skull (3)","Athar Lamh (100), Mor Athar (100)",Undine Black Magic Master,Attacks enemies on all sides of you with wind.
Mor Creag Lamh,60,3/51/36/14/3,"75,000","Royal Silver Ring (2), Hobgoblin's Skull (3)","Creah Lamh (100), Mor Creag (100)",Undine Black Magic Master,Attacks enemies on all sides of you with earth.
Mor Sal Lamh,60,9/52/30/9/9,"75,000","Royal Silver Ring (2), Hobgoblin's Skull (3)","Sal Lamh (100), Mor Sal (100)",Undine Black Magic Master,Attacks enemies on all sides of you with earth.
Mor Srad Lamh,60,14/52/30/3/3,"75,000","Royal Silver Ring (2), Hobgoblin's Skull (3)","Srad Lamh (100), Mor Srad (100)",Undine Black Magic Master,Attacks enemies on all sides of you with fire.
Mor Cradh,60,5/75/38/5/5,"50,000","Marauder's Spine (2), Ialtag's Eye (1)",Cradh (100),Suomi Dark Magic Master,"Curses the enemy, increasing their armor class by 35 and reducing their magic resistance by 20%."
Arcane Blast,71,5/72/38/5/5,"50,000",Wisp Core (3),Arcane Missile (100),Mileth Special Spells Master,Attacks the enemy with base non-elemental damage.
Mor Athar Meall,71,3/70/41/3/16,"100,000","Kardi Fur (2), Ialtag's Eye (1)","Mor Athar (100), Athar Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong wind.
Mor Creag Meall,71,3/70/41/16/3,"100,000","Kardi Fur (2), Ialtag's Eye (1)","Mor Creag (100), Creag Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong earth.
Mor Sal Meall,71,10/70/41/10/10,"100,000","Kardi Fur (2), Ialtag's Eye (1)","Mor Sal (100), Sal Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong water.
Mor Srad Meall,71,16/70/41/3/3,"100,000","Mushroom (3), Ialtag's Eye (1)","Mor Srad (100), Srad Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong fire.
Ard Athar,80,5/76/44/5/20,"250,000","Ialtag's Eye (3), Pristine Emerald (10)",Mor Athar (100),Suomi Dark Magic Master,Attacks the enemy with intense wind.
Ard Creag,80,5/76/44/20/5,"250,000","Ialtag's Eye (3), Pristine Beryl (10)",Mor Creag (100),Suomi Dark Magic Master,Attacks the enemy with intense earth.
Ard Sal,80,12/76/44/12/12,"250,000","Ialtag's Eye (3), Pristine Sapphire (10)",Mor Sal (100),Suomi Dark Magic Master,Attacks the enemy with intense water.
Ard Srad,80,20/76/44/5/5,"250,000","Ialtag's Eye (3), Pristine Ruby (10)",Mor Srad (100),Suomi Dark Magic Master,Attacks the enemy with intense fire.
Ard Athar Lamh,90,3/82/45/3/14,"150,000","Star Ring (1), Mummy Bandage (2)","Mor Athar Lamh (100), Ard Athar (100)",Undine Dark Magic Master,Attacks enemies on all sides of you with wind.
Ard Creag Lamh,90,3/88/40/19/3,"150,000","Grand Emerald Ring (1), Qualgeist's Head (2)","Mor Creag Lamh (100), Ard Creag (100)",Undine Dark Magic Master,Attacks enemies on all sides of you with earth.
Ard Sal Lamh,90,9/94/41/9/9,"150,000","Mythril Sapphire Ring (1), Goo (2)","Mor Sal Lamh (100), Ard Sal (100)",Undine Dark Magic Master,Attacks enemies on all sides of you with water.
Ard Srad Lamh,90,21/72/40/3/3,"150,000","Grand Ruby Ring (1), Satyr's Hoof (2)","Mor Srad Lamh (100), Ard Srad (100)",Undine Dark Magic Master,Attacks enemies on all sides of you with fire.
Ard Cradh,90,10/105/55/10/15,"175,000",Flesh (3),Mor Cradh (100),Suomi Dark Magic Master,"Curses the enemy, increasing their AC by 50 and reducing their magic resistance by 30%."
Arcane Explosion,Master,3/3/3/3/3,"-",-,-,Master Dungeon,"Causes an explosion around the enemy, dealing damage based on mana."
Fas Spiorad,Master,3/3/3/3/3,-,-,Rumination (100),Master,Replenishes mana using health.
Sight of Frailty,Master (Pure),3/3/3/3/3,-,-,-,Master,Reveals the weakness of all monsters in your view. Pure only.
Ard Athar Meall,Master,7/155/98/5/9,"500,000",Direwolf Lock (3),"Ard Athar (100), Mor Athar Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong wind and a chance to crit. Ard Athar and Mor Athar Meall upgrade.
Ard Creag Meall,Master,9/130/95/15/18,"500,000",Ruidhtear Toe (2),"Ard Creag (100), Mor Creag Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong earth and stuns. Ard Creag and Mor Creag Meall upgrade.
Ard Sal Meall,Master,15/145/95/10/20,"500,000",Ice Elemental Flame (3),"Ard Sal (100), Mor Sal Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong water and splashse. Ard Sal and Mor Sal Meall upgrade.
Ard Srad Meall,Master,22/125/80/15/15,"500,000",Gold Beetalic Head (5),"Ard Srad (100), Mor Srad Meall (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with strong fire and burns. Ard Srad and Mor Srad Meall upgrade.
Magma Surge,Master (Pure),25/140/90/15/15,"500,000","Red Shocker Piece (5), Black Shocker Piece (5)",-,Suomi Dark Magic Master,Attacks enemies on all sides of you with earth and fire. Pure only.
Tidal Breeze,Master (Pure),25/140/90/15/15,"500,000","Gold Shocker Piece (5), Blue Shocker Piece (5)",-,Suomi Dark Magic Master,Attacks enemies on all sides of you with wind and water. Pure only.
Call Lightning,Master,3/3/3/3/3,-,-,-,Lady Phoenix,"After a 2s delay, lightning rapidly strikes 5 times in the same spot."
Dia Cradh,Master (Pure),3/3/3/3/3,-,-,Ard Cradh (100),Lady Phoenix,"Curses the enemy, increasing their AC by 65 and reducing their magic resistance by 40%. Pure only."
Meteor,Master,3/3/3/3/3,-,-,-,Lady Phoenix,Attacks the enemy with a meteor that leaves behind fire.
Seismic Shift,Master,3/3/3/3/3,"-",-,-,Lady Phoenix,"Shifts the ground out in front of you in a cone, pushing enemies away."
Tidal Wave,Master,3/3/3/3/3,-,-,-,Lady Phoenix,Summons a wave of water in front of the caster.
