Name,LOC,ELE,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Light Iron Belt,-,Holy,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Sea Iron Belt,-,Water,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Wind Iron Belt,-,Wind,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Jeweled Metal Belt,-,Metal,41,1,-1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Jeweled Nature Belt,-,Wood,41,1,-1,100,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Mythril Braid Belt,-,-,71,1,-,-,75,-,10,-,2,2,-,-,-,-,-,-,-,-,-,-,-
Jeweled Dark Belt,-,Darkness,71,1,-1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Light Belt,-,Holy,71,1,-1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Mythril Braid Belt,-,Darkness,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Earth Mythril Braid Belt,-,Earth,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Fire Mythril Braid Belt,-,Fire,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Light Mythril Braid Belt,-,Holy,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Metal Mythril Braid Belt,-,Metal,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Nature Mythril Braid Belt,-,Wood,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Sea Mythril Braid Belt,-,Water,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Wind Mythril Braid Belt,-,Wind,71,1,-,-,100,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Braid Belt,-,-,97,1,-,150,-,-,10,2,-,-,2,-,-,-,-,-,-,-,-,-,-
Dark Hy-Brasyl Braid Belt,-,Darkness,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Earth Hy-Brasyl Braid Belt,-,Earth,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Fire Hy-Brasyl Braid Belt,-,Fire,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Light Hy-Brasyl Braid Belt,-,Holy,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Metal Hy-Brasyl Braid Belt,-,Metal,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Nature Hy-Brasyl Braid Belt,-,Wood,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Sea Hy-Brasyl Braid Belt,-,Water,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Wind Hy-Brasyl Braid Belt,-,Wind,97,1,-,200,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Forsaken Belt,-,Darkness,Master,1,-3,800,400,-,15,-3,-,-,-3,-3,8,-,-,-,-,-,-,-,2
Dark Azurium Belt,-,Darkness,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Earth Azurium Belt,-,Earth,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Fire Azurium Belt,-,Fire,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Light Azurium Belt,-,Holy,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Sea Azurium Belt,-,Water,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Wind Azurium Belt,-,Wind,Master,1,-1,-,600,-,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Dark Crimsonite Belt,-,Darkness,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
Earth Crimsonite Belt,-,Earth,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
Fire Crimsonite Belt,-,Fire,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
Light Crimsonite Belt,-,Holy,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
Sea Crimsonite Belt,-,Water,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
Wind Crimsonite Belt,-,Wind,Master,1,-2,600,-,-,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-
