Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Iron Ruby Gauntlet,-,41,3,-2,150,-500,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Iron Sapphire Gauntlet,-,41,3,-2,150,-350,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Mythril Gauntlet,-,63,1,-2,-,-250,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Mythril Bracer,-,71,1,-2,300,150,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-
Mythril Beryl Gauntlet,-,71,1,-2,100,-250,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-
Mythril Emerald Gauntlet,-,71,1,-2,-,-250,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-
Mythril Heartstone Gauntlet,-,71,1,-2,-,-250,-,4,-,-,2,-,-,-,1,-,-,-,-,-,-,-
Mythril Ruby Gauntlet,-,71,1,-2,-,-250,-,-,2,-,-,-,-,4,1,-,-,-,-,-,-,-
Mythril Sapphire Gauntlet,-,71,1,-2,-,-,-,-,-,2,-,-,-,-,3,-,-,-,-,-,-,-
Strap Gauntlet,-,81,4,-3,300,100,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Bracer,-,95,4,-4,600,300,-,-,2,-,-,2,-,5,-,-,-,-,-,-,-,-
Hy-Brasyl Gauntlet,-,95,4,-3,500,-500,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-
Dark Aisling Gauntlet,-,96,4,-2,400,200,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-
Hy-Brasyl Beryl Gauntlet,-,97,4,-3,650,-500,-,-,-,-,-,2,-,6,3,-,-,-,-,-,-,-
Hy-Brasyl Emerald Gauntlet,-,97,4,-3,500,-500,-,-,-,-,-,-,2,4,2,-,-,-,-,-,-,-
Hy-Brasyl Heartstone Gauntlet,-,97,4,-3,500,-500,-,4,-,-,2,-,-,2,2,-,-,-,-,-,-,-
Hy-Brasyl Ruby Gauntlet,-,97,4,-3,500,-500,-,-,2,-,-,-,-,8,2,-,-,-,-,-,-,-
Hy-Brasyl Sapphire Gauntlet,-,97,4,-3,500,-500,-,-,-,2,-,-,-,2,4,-,-,-,-,-,-,-
Amorphous Gauntlet,-,Master,4,-2,200,600,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-
Forsaken Gauntlet,-,Master,4,-4,1500,-,-,-5,1,-2,-2,1,1,7,-,75,2,-,-,-,-,-
Nyx's Embrace,-,Master,4,-3,700,350,-,-6,1,1,1,-,-,5,5,50,-,50,-,-,-,-
Scale Bracer,-,Master,5,-5,1000,500,-,-,3,-,-,3,-,7,-,75,2,-,-,37,-,-
Scurvy Gauntlet,-,Master,4,-3,800,-,-,-,-,-,-,-,-,8,-,50,-,-,-,-,-,-
Spiked Bracer,-,Master,5,-5,1500,750,-,-,3,-,-,3,3,8,-,100,3,-,-,50,-,-
Azurium Beryl Gauntlet,-,Master,4,-4,400,400,-,-,-,1,1,3,-,2,1,-,-,-,-,-,-,-
Azurium Emerald Gauntlet,-,Master,4,-4,-,400,-,-,-,1,1,1,2,-,3,-,-,-,-,-,-,-
Azurium Heartstone Gauntlet,-,Master,4,-4,-,600,-,4,-,1,3,1,-,-,3,-,-,-,-,-,-,-
Azurium Ruby Gauntlet,-,Master,4,-4,-,400,-,-,2,1,1,1,-,4,3,-,-,-,-,-,-,-
Azurium Sapphire Gauntlet,-,Master,4,-4,-,600,-,-,-,3,1,1,-,-,5,-,-,-,-,-,-,-
Crimsonite Beryl Gauntlet,-,Master,4,-4,1200,-,-,-,1,-,-,3,1,8,1,-,-,-,-,-,-,-
Crimsonite Emerald Gauntlet,-,Master,4,-4,800,-,-,-,1,-,-,1,3,6,-,-,-,-,-,-,-,-
Crimsonite Heartstone Gauntlet,-,Master,4,-4,800,200,-,4,1,-,2,1,1,6,-,-,-,-,-,-,-,-
Crimsonite Ruby Gauntlet,-,Master,4,-4,800,-,-,-,3,-,-,1,1,10,-,-,-,-,-,-,-,-
Crimsonite Sapphire Gauntlet,-,Master,4,-4,800,200,-,-,1,2,-,1,1,6,2,-,-,-,-,-,-,-
