Name,Class,Gender,Level,Materials
Hy-Brasyl Beryl Gauntlet,Peasant,Both,97,3 Exquisite Silk & 2 Polished Hy-Brasyl Bar & 2 Pristine Beryl
Hy-Brasyl Ruby Gauntlet,Peasant,Both,97,3 Exquisite Silk & 2 Polished Hy-Brasyl Bar & 2 Pristine Ruby
Hy-Brasyl Sapphire Gauntlet,Peasant,Both,97,3 Exquisite Silk & 2 Polished Hy-Brasyl Bar & 2 Pristine Sapphire
Hy-Brasyl Emerald Gauntlet,Peasant,Both,97,3 Exquisite Silk & 2 Polished Hy-Brasyl Bar & 2 Pristine Emerald
Hy-Brasyl Heartstone Gauntlet,Peasant,Both,97,3 Exquisite Silk & 2 Polished Hy-Brasyl Bar & 2 Pristine Heartstone
Bardocle,Rogue,M,99,5 Exquisite Silk
Kagum,Rogue,F,99,5 Exquisite Silk
Duin-Uasal,Wizard,M,99,5 Exquisite Silk
Clamyth,Wizard,F,99,5 Exquisite Silk
Dalmatica,Priest,M,99,5 Exquisite Silk
Bansagart,Priest,F,99,5 Exquisite Silk
Mountain Garb,Monk,M,99,5 Exquisite Silk
Sea Garb,Monk,F,99,5 Exquisite Silk
Hy-Brasyl Plate,Warrior,M,99,5 Exquisite Silk
Hy-Brasyl Armor,Warrior,F,99,5 Exquisite Silk
Refining Kit,Peasant,Both,Master,25 Exquisite Hemp & 1 Strange Stone
Fire Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Ruby
Sea Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Sapphire
Earth Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Beryl
Wind Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Emerald
Dark Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Heartstone
Light Crimsonite Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Crimsonite Bar & 7 Pristine Heartstone
Fire Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Ruby
Sea Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Sapphire
Earth Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Beryl
Wind Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Emerald
Dark Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Heartstone
Light Azurium Belt,Peasant,Both,Master,4 Exquisite Hemp & 1 Polished Azurium Bar & 7 Pristine Heartstone
Crimsonite Beryl Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Crimsonite Bar & 3 Pristine Beryl
Crimsonite Ruby Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Crimsonite Bar & 3 Pristine Ruby
Crimsonite Sapphire Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Crimsonite Bar & 3 Pristine Sapphire
Crimsonite Emerald Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Crimsonite Bar & 3 Pristine Emerald
Crimsonite Heartstone Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Crimsonite Bar & 3 Pristine Heartstone
Azurium Beryl Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Azurium Bar & 3 Pristine Beryl
Azurium Ruby Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Azurium Bar & 3 Pristine Ruby
Azurium Sapphire Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Azurium Bar & 3 Pristine Sapphire
Azurium Emerald Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Azurium Bar & 3 Pristine Emerald
Azurium Heartstone Gauntlet,Peasant,Both,Master,4 Exquisite Hemp & 3 Polished Azurium Bar & 3 Pristine Heartstone
